CADENA,VALUE
Accezorize,1.0
Adidas,1.0
Adolfo Dominguez,1.0
Agua Viva,1.0
Ale -Hop,1.0
American Vintage,1.0
Anna Mora,1.0
Apple Store,1.0
Aragaza,1.0
Baguetina Catalana,1.0
Banak Importa,1.0
Barceló Viatges,1.0
Bel,1.0
Bershka,1.0
Bijou Brigitte,1.0
Billabong,1.0
Blanco,1.0
Bloom,1.0
Bon aliment,1.0
Bona Compra,1.0
BonArea,1.0
Bonpreu,1.0
Bopan,1.0
Bottega Venetta,1.0
Bracafé,1.0
Brandy Melville,1.0
Brioni,1.0
Brownie,1.0
Buenas Migas,1.0
Burberry,1.0
Burger King,1.0
Bvlgari,1.0
Calvin Klein,1.0
Calzedonia,1.0
Camper,1.0
Caprabo,1.0
Caramelo,1.0
Carhartt,1.0
Carmina Shoemaker,1.0
Carolina Herrera,1.0
Carrefour Express,1.0
Carrera Y Carrera,1.0
Cartier,1.0
Casa Del Llibre,1.0
Casa Viva,1.0
Casas,1.0
Céline,1.0
Celio,1.0
Chanel,1.0
Change,1.0
Charter,1.0
Chocolat Box,1.0
Chopard,1.0
Claire's,1.0
Clarel,1.0
Clarks,1.0
CLaudine,1.0
Co aliment,1.0
Condis,1.0
Consum,1.0
Coquette,1.0
Cortefiel,1.0
COS Collection Of Style,1.0
Costa Coffe,1.0
Cottet,1.0
Crocs,1.0
Cruyff,1.0
Custo Barcelona,1.0
Danone,1.0
David Valls,1.0
Decathlon,1.0
Depaso,1.0
Desigual,1.0
Dia,1.0
Dionisos,1.0
Dior,1.0
Dir,1.0
Dirk Bikkembers,1.0
Dolce&Gabbanna,1.0
Double Agent,1.0
Dr Bloom,1.0
Dunkin Coffe,1.0
Eat Out,1.0
El Corte Inglés,1.0
El Fornet,1.0
El Ganso,1.0
Emporio Armani,1.0
Energie,1.0
Engel & Volkers,1.0
Enrique Tomas,1.0
Ermanno Scervino,1.0
Ermenegildo Zegna,1.0
Escada,1.0
Expofinques,1.0
Farga,1.0
Farggi,1.0
Felgar,1.0
Fnac,1.0
Foot Locker,1.0
Forcadell,1.0
Forever Young,1.0
Fotoprix,1.0
FresCo,1.0
Furest,1.0
Furla,1.0
Gaes,1.0
Games Workshop,1.0
