in_hex,altr,cult,host,llar,localb,other,pers,quot,serv,tran,polygon,polygon_id
0.0,,,34.0,1.0,5.0,190.0,4.0,,12.0,2.0,out,115.0
0.0,,,34.0,1.0,5.0,190.0,4.0,,12.0,2.0,aoi_65,64.0
26.0,,,,,,,,,1.0,,out,115.0
40.0,,,,,2.0,1.0,,,,,out,115.0
48.0,,,1.0,,,,,,,,out,115.0
50.0,1.0,,,,,2.0,,,1.0,,out,115.0
52.0,2.0,,13.0,4.0,28.0,3.0,2.0,11.0,17.0,3.0,out,115.0
53.0,1.0,,3.0,1.0,13.0,1.0,1.0,4.0,1.0,,out,115.0
63.0,,,3.0,,5.0,,,1.0,1.0,1.0,out,115.0
64.0,1.0,,3.0,,7.0,1.0,,1.0,1.0,1.0,out,115.0
66.0,1.0,1.0,3.0,,1.0,1.0,2.0,17.0,2.0,,out,115.0
67.0,,1.0,3.0,,,,,2.0,3.0,,out,115.0
68.0,2.0,,6.0,2.0,14.0,4.0,4.0,6.0,14.0,2.0,out,115.0
69.0,2.0,,4.0,3.0,4.0,5.0,2.0,9.0,10.0,1.0,out,115.0
86.0,4.0,1.0,9.0,5.0,29.0,2.0,5.0,12.0,15.0,3.0,out,115.0
87.0,6.0,3.0,20.0,8.0,73.0,3.0,7.0,24.0,57.0,3.0,out,115.0
88.0,4.0,,9.0,4.0,16.0,7.0,2.0,38.0,15.0,4.0,out,115.0
88.0,4.0,,9.0,4.0,16.0,7.0,2.0,38.0,15.0,4.0,aoi_19,18.0
89.0,4.0,,4.0,,9.0,5.0,,,7.0,2.0,out,115.0
90.0,1.0,,7.0,1.0,16.0,12.0,2.0,8.0,8.0,2.0,out,115.0
91.0,,,,,7.0,,,,,,out,115.0
92.0,1.0,,1.0,,3.0,1.0,,,4.0,2.0,out,115.0
93.0,,,,,,1.0,,,,1.0,out,115.0
94.0,1.0,,,,,,,,,,out,115.0
95.0,2.0,1.0,6.0,,4.0,4.0,1.0,2.0,2.0,,out,115.0
96.0,,,1.0,,,4.0,,,,2.0,out,115.0
108.0,2.0,,6.0,,7.0,1.0,2.0,3.0,6.0,1.0,out,115.0
109.0,4.0,1.0,8.0,4.0,14.0,4.0,2.0,6.0,10.0,,out,115.0
110.0,2.0,,4.0,1.0,8.0,1.0,,3.0,9.0,1.0,out,115.0
111.0,,,7.0,,22.0,5.0,1.0,3.0,6.0,1.0,out,115.0
112.0,6.0,4.0,23.0,14.0,63.0,10.0,23.0,31.0,42.0,9.0,aoi_19,18.0
112.0,6.0,4.0,23.0,14.0,63.0,10.0,23.0,31.0,42.0,9.0,out,115.0
113.0,4.0,2.0,18.0,12.0,70.0,8.0,21.0,34.0,53.0,13.0,aoi_19,18.0
113.0,4.0,2.0,18.0,12.0,70.0,8.0,21.0,34.0,53.0,13.0,out,115.0
114.0,5.0,,20.0,7.0,108.0,8.0,8.0,14.0,48.0,9.0,out,115.0
114.0,5.0,,20.0,7.0,108.0,8.0,8.0,14.0,48.0,9.0,aoi_19,18.0
115.0,1.0,,9.0,2.0,49.0,2.0,1.0,2.0,13.0,,out,115.0
116.0,3.0,1.0,4.0,,12.0,2.0,,2.0,8.0,2.0,out,115.0
117.0,,,,,,4.0,,,,,out,115.0
119.0,,,,,2.0,9.0,,,1.0,1.0,out,115.0
120.0,1.0,1.0,2.0,1.0,3.0,13.0,1.0,,1.0,5.0,out,115.0
121.0,,,1.0,1.0,1.0,5.0,,,,2.0,out,115.0
128.0,,,,,,1.0,,,,,out,115.0
133.0,,,,,2.0,1.0,,,,,out,115.0
134.0,2.0,1.0,7.0,,28.0,2.0,2.0,21.0,10.0,1.0,out,115.0
135.0,4.0,,6.0,2.0,8.0,8.0,1.0,1.0,4.0,3.0,out,115.0
136.0,1.0,,2.0,,4.0,3.0,,,2.0,1.0,out,115.0
137.0,6.0,2.0,12.0,5.0,29.0,15.0,1.0,5.0,19.0,2.0,out,115.0
137.0,6.0,2.0,12.0,5.0,29.0,15.0,1.0,5.0,19.0,2.0,aoi_17,16.0
138.0,9.0,4.0,18.0,12.0,106.0,20.0,30.0,16.0,84.0,20.0,aoi_17,16.0
138.0,9.0,4.0,18.0,12.0,106.0,20.0,30.0,16.0,84.0,20.0,out,115.0
139.0,5.0,3.0,28.0,7.0,93.0,11.0,14.0,20.0,61.0,5.0,out,115.0
139.0,5.0,3.0,28.0,7.0,93.0,11.0,14.0,20.0,61.0,5.0,aoi_17,16.0
139.0,5.0,3.0,28.0,7.0,93.0,11.0,14.0,20.0,61.0,5.0,aoi_19,18.0
140.0,5.0,4.0,29.0,12.0,62.0,11.0,12.0,20.0,65.0,1.0,aoi_19,18.0
140.0,5.0,4.0,29.0,12.0,62.0,11.0,12.0,20.0,65.0,1.0,out,115.0
141.0,1.0,,8.0,2.0,14.0,2.0,2.0,11.0,11.0,2.0,out,115.0
142.0,6.0,3.0,21.0,7.0,29.0,9.0,6.0,13.0,33.0,5.0,out,115.0
143.0,4.0,1.0,12.0,2.0,14.0,9.0,4.0,4.0,17.0,3.0,out,115.0
144.0,,2.0,2.0,1.0,4.0,3.0,2.0,1.0,8.0,,out,115.0
145.0,6.0,10.0,52.0,20.0,,1.0,128.0,14.0,42.0,2.0,out,115.0
146.0,,,14.0,5.0,1.0,3.0,39.0,3.0,2.0,15.0,out,115.0
147.0,,,1.0,3.0,8.0,30.0,1.0,,2.0,4.0,out,115.0
148.0,,3.0,1.0,,4.0,14.0,,,2.0,4.0,out,115.0
155.0,,,,,,1.0,,,1.0,,out,115.0
159.0,,,,,,2.0,,,3.0,1.0,out,115.0
160.0,1.0,,1.0,,1.0,1.0,,1.0,2.0,,out,115.0
161.0,,,1.0,,1.0,,,,1.0,,out,115.0
162.0,2.0,2.0,5.0,,25.0,7.0,,5.0,15.0,8.0,out,115.0
163.0,9.0,3.0,11.0,7.0,40.0,12.0,3.0,8.0,23.0,5.0,out,115.0
164.0,16.0,4.0,14.0,3.0,18.0,10.0,7.0,31.0,23.0,2.0,out,115.0
164.0,16.0,4.0,14.0,3.0,18.0,10.0,7.0,31.0,23.0,2.0,aoi_17,16.0
165.0,10.0,3.0,17.0,13.0,12.0,3.0,25.0,13.0,38.0,7.0,out,115.0
165.0,10.0,3.0,17.0,13.0,12.0,3.0,25.0,13.0,38.0,7.0,aoi_17,16.0
166.0,4.0,3.0,33.0,11.0,62.0,5.0,18.0,25.0,61.0,5.0,out,115.0
166.0,4.0,3.0,33.0,11.0,62.0,5.0,18.0,25.0,61.0,5.0,aoi_17,16.0
167.0,6.0,2.0,13.0,6.0,24.0,8.0,4.0,11.0,30.0,6.0,out,115.0
168.0,,,,1.0,1.0,,,,2.0,,out,115.0
169.0,2.0,1.0,6.0,3.0,21.0,4.0,,3.0,15.0,,out,115.0
170.0,6.0,4.0,12.0,12.0,14.0,8.0,8.0,14.0,47.0,3.0,aoi_20,19.0
170.0,6.0,4.0,12.0,12.0,14.0,8.0,8.0,14.0,47.0,3.0,out,115.0
171.0,5.0,4.0,17.0,5.0,16.0,4.0,,11.0,30.0,2.0,aoi_20,19.0
171.0,5.0,4.0,17.0,5.0,16.0,4.0,,11.0,30.0,2.0,out,115.0
172.0,2.0,,13.0,,3.0,2.0,9.0,2.0,19.0,4.0,out,115.0
173.0,2.0,,17.0,,1.0,,82.0,2.0,5.0,1.0,out,115.0
174.0,,,6.0,1.0,2.0,13.0,1.0,1.0,4.0,2.0,out,115.0
175.0,2.0,,11.0,1.0,4.0,9.0,1.0,1.0,7.0,1.0,out,115.0
176.0,,,,,,1.0,,,,,out,115.0
183.0,,,1.0,,,,,,,,out,115.0
185.0,,,,,,1.0,,,,,out,115.0
186.0,,,,,,2.0,,,7.0,,out,115.0
187.0,,,,,,1.0,,,1.0,,out,115.0
188.0,,,,,,2.0,,,3.0,1.0,out,115.0
189.0,2.0,2.0,5.0,,2.0,2.0,,11.0,16.0,1.0,out,115.0
190.0,,,5.0,2.0,6.0,1.0,3.0,7.0,10.0,2.0,out,115.0
191.0,2.0,,3.0,,1.0,,1.0,4.0,5.0,,out,115.0
192.0,4.0,1.0,1.0,,32.0,4.0,1.0,4.0,8.0,,out,115.0
193.0,2.0,,5.0,,2.0,15.0,1.0,3.0,4.0,1.0,out,115.0
194.0,10.0,2.0,20.0,1.0,44.0,8.0,12.0,8.0,29.0,5.0,out,115.0
