id,title,number,street,id_sec,id_subsec,cod_sec,cod_sub,sector,x,y,lon,lat,geometry,polygon_id,Name
117733.0,Gamez Taller De Reparació,60,CL PINAR DEL RIO,9,12,tran,tall,taller mecánico,431573.0,4586221.0,2.179993778,41.42278554,POINT (2.179993778 41.42278554),23,aoi_24
112770.0,AreaMoto,44,CL FRANCESC TARREGA,9,12,tran,tall,taller mecánico,431621.0,4586343.0,2.180554341,41.42388844,POINT (2.180554341 41.42388844),23,aoi_24
112749.0,Auto Aguilera,23,CL FRANCESC TARREGA,9,12,tran,tall,taller mecánico,431599.0,4586267.0,2.1802996869999998,41.42320206,POINT (2.180299687 41.42320206),23,aoi_24
145549.0,Neumáticos Carrera,163,CL GARCILASO,9,12,tran,tall,taller mecánico,431729.0,4586261.0,2.18185595,41.42315909,POINT (2.18185595 41.42315909),23,aoi_24
145584.0,Tallers Garcilaso,223,CL GARCILASO,9,12,tran,tall,taller mecánico,431503.0,4586299.0,2.179147321,41.42348209,POINT (2.179147321 41.42348209),23,aoi_24
145587.0,Motos Fabregat,231,CL GARCILASO,9,12,tran,tall,taller mecánico,431475.0,4586304.0,2.178811704,41.42352474,POINT (2.178811704 41.42352474),23,aoi_24
361897.0,El Taller,65,CL PUERTO PRINCIPE,9,12,tran,tall,taller mecánico,431667.0,4586270.0,2.1811130380000003,41.42323487,POINT (2.181113038 41.42323487),23,aoi_24
721666.0,Tallers Gamez,62-64,CL PINAR DEL RIO,9,12,tran,tall,taller mecánico,431564.0,4586223.0,2.179885858,41.42280279,POINT (2.179885858 41.42280279),23,aoi_24
721667.0,Tallers Gamez,60,CL PINAR DEL RIO,9,12,tran,tall,taller mecánico,431573.0,4586221.0,2.179993778,41.42278554,POINT (2.179993778 41.42278554),23,aoi_24
117732.0,Bar Bello Comidas Caseras,57,CL PINAR DEL RIO,2,40,host,bar,bares de copas,431558.0,4586184.0,2.179818479,41.42245102,POINT (2.179818479 41.42245102),23,aoi_24
117747.0,Moments,7,CL MANIGUA,2,40,host,bar,bares de copas,431503.0,4586234.0,2.179154688,41.42289666,POINT (2.179154688 41.42289666),23,aoi_24
112713.0,L'Anxova D'Or,48,CL PUERTO PRINCIPE,2,40,host,bar,bares de copas,431677.0,4586206.0,2.181239934,41.4226593,POINT (2.181239934 41.4226593),23,aoi_24
112723.0,Granja Bar Puerto Príncipe,80,CL PUERTO PRINCIPE,2,40,host,bar,bares de copas,431725.0,4586358.0,2.181797127,41.42403239,POINT (2.181797127 41.42403239),23,aoi_24
112757.0,La Freiduria Bar Cafeteria,29,CL FRANCESC TARREGA,2,40,host,bar,bares de copas,431606.0,4586317.0,2.1803777909999997,41.42365299,POINT (2.180377791 41.42365299),23,aoi_24
112765.0,Bar Urbion,40,CL FRANCESC TARREGA,2,40,host,bar,bares de copas,431617.0,4586316.0,2.180509531,41.42364492,POINT (2.180509531 41.42364492),23,aoi_24
112768.0,Bar Sense Nom,42,CL FRANCESC TARREGA,2,40,host,bar,bares de copas,431619.0,4586328.0,2.180532106,41.42375317,POINT (2.180532106 41.42375317),23,aoi_24
383050.0,Yaniz,1,CL SEGLE XX,2,40,host,bar,bares de copas,431447.0,4586161.0,2.178492873,41.4222344,POINT (2.178492873 41.4222344),23,aoi_24
145548.0,Bar Granja Garcilaso,157,CL GARCILASO,2,40,host,bar,bares de copas,431742.0,4586266.0,2.1820109430000003,41.42320523,POINT (2.182010943 41.42320523),23,aoi_24
145558.0,Bar Venecia,176,CL GARCILASO,2,40,host,bar,bares de copas,431644.0,4586321.0,2.180832051,41.42369225,POINT (2.180832051 41.42369225),23,aoi_24
145563.0,Bar Restaurante Urbión,180,CL GARCILASO,2,40,host,bar,bares de copas,431626.0,4586318.0,2.180617,41.423663700000006,POINT (2.180617 41.42366370000001),23,aoi_24
145574.0,Bar Cafetería La Freiduría,199,CL GARCILASO,2,40,host,bar,bares de copas,431597.0,4586286.0,2.180273604,41.42337302,POINT (2.180273604 41.42337302),23,aoi_24
102340.0,Bar Lydia,155,CL FELIP II,2,40,host,bar,bares de copas,431776.0,4586315.0,2.1824122569999997,41.42364944,POINT (2.182412257 41.42364944),23,aoi_24
361923.0,La Factoria,21,CL MANIGUA,2,40,host,bar,bares de copas,431512.0,4586298.0,2.179255129,41.42347385,POINT (2.179255129 41.42347385),23,aoi_24
361947.0,Can Alexandre,1,CL FELIP BERTRAN I GUELL,2,40,host,bar,bares de copas,431736.0,4586407.0,2.181923221,41.42447465,POINT (2.181923221 41.42447465),23,aoi_24
721665.0,Bar El Punto Latino,66,CL PINAR DEL RIO,2,40,host,bar,bares de copas,431554.0,4586224.0,2.179766085,41.42281094,POINT (2.179766085 41.42281094),23,aoi_24
721675.0,Bar La Pepa,42,CL PINAR DEL RIO,2,40,host,bar,bares de copas,431695.0,4586194.0,2.181456677,41.42255275,POINT (2.181456677 41.42255275),23,aoi_24
722013.0,Can Alexandre,160,CL FELIP II,2,40,host,bar,bares de copas,431736.0,4586407.0,2.181923221,41.42447465,POINT (2.181923221 41.42447465),23,aoi_24
722025.0,Bar Can Yiyo,155,CL GARCILASO,2,40,host,bar,bares de copas,431766.0,4586264.0,2.1822983540000003,41.42318925,POINT (2.182298354 41.42318925),23,aoi_24
722039.0,Cerveceria Cecilia,180,CL GARCILASO,2,40,host,bar,bares de copas,431626.0,4586318.0,2.180617,41.423663700000006,POINT (2.180617 41.42366370000001),23,aoi_24
117752.0,Iñiguez,12,CL MANIGUA,6,8,pers,moda,tienda de ropa,431537.0,4586215.0,2.179563683,41.42272843,POINT (2.179563683 41.42272843),23,aoi_24
117760.0,Punt Gené,28,CL MANIGUA,6,8,pers,moda,tienda de ropa,431545.0,4586289.0,2.179651029,41.42339561,POINT (2.179651029 41.42339561),23,aoi_24
16065.0,Lenceria Intima Antonia Navarro,142,PS MARAGALL,6,8,pers,moda,tienda de ropa,431462.0,4586229.0,2.17866465,41.42284813,POINT (2.17866465 41.42284813),23,aoi_24
32745.0,Bona Idea,161,PS MARAGALL,6,8,pers,moda,tienda de ropa,431482.0,4586153.0,2.178912585,41.42216533,POINT (2.178912585 41.42216533),23,aoi_24
722030.0,Botiga Amiga,185,CL GARCILASO,6,8,pers,moda,tienda de ropa,431636.0,4586274.0,2.180741638,41.42326826,POINT (2.180741638 41.42326826),23,aoi_24
117753.0,Asepeyo Clínica,13,CL MANIGUA,8,119,serv,cons,consultorio,431495.0,4586261.0,2.1790559,41.42313916,POINT (2.1790559 41.42313916),23,aoi_24
383370.0,Acupuntura Kung,2,RB MUNTANYA,8,119,serv,cons,consultorio,431447.0,4586161.0,2.178492873,41.4222344,POINT (2.178492873 41.4222344),23,aoi_24
16119.0,Consultoris Medics,193,PS MARAGALL,8,119,serv,cons,consultorio,431394.0,4586282.0,2.177844948,41.42331967,POINT (2.177844948 41.42331967),23,aoi_24
16134.0,Clínica Dental Maragall,171,PS MARAGALL,8,119,serv,cons,consultorio,431444.0,4586209.0,2.178451531,41.42266646,POINT (2.178451531 41.42266646),23,aoi_24
16060.0,Miner Art,132,PS MARAGALL,6,9,pers,joie,joyería relojería,431497.0,4586182.0,2.179088786,41.4224278,POINT (2.179088786 41.4224278),23,aoi_24
165253.0,Marlin Oro,155,PS MARAGALL,6,9,pers,joie,joyería relojería,431497.0,4586111.0,2.179096833,41.42178833,POINT (2.179096833 41.42178833),23,aoi_24
145542.0,Molins Joiers Rellotgers,154,CL GARCILASO,6,9,pers,joie,joyería relojería,431719.0,4586304.0,2.1817314309999998,41.42354552,POINT (2.181731431 41.42354552),23,aoi_24
16136.0,La Caixa,167,PS MARAGALL,8,3,serv,banca,oficina bancaria,431453.0,4586195.0,2.1785608119999997,41.42254113,POINT (2.178560812 41.42254113),23,aoi_24
117724.0,Local Buit,44,CL PINAR DEL RIO,4,42,localb,localb,locales comerciales,431683.0,4586195.0,2.1813129719999997,41.42256074,POINT (2.181312972 41.42256074),23,aoi_24
117727.0,Local Buit,50,CL PINAR DEL RIO,4,42,localb,localb,locales comerciales,431646.0,4586208.0,2.1808687630000003,41.42267467,POINT (2.180868763 41.42267467),23,aoi_24
117735.0,Local Buit,61,CL PINAR DEL RIO,4,42,localb,localb,locales comerciales,431542.0,4586190.0,2.179626345,41.42250369,POINT (2.179626345 41.42250369),23,aoi_24
117736.0,Local Buit,66,CL PINAR DEL RIO,4,42,localb,localb,locales comerciales,431554.0,4586224.0,2.179766085,41.42281094,POINT (2.179766085 41.42281094),23,aoi_24
117750.0,Local Buit,11,CL MANIGUA,4,42,localb,localb,locales comerciales,431498.0,4586246.0,2.1790934980000003,41.42300431,POINT (2.179093498 41.42300431),23,aoi_24
117756.0,Local Buit,18,CL MANIGUA,4,42,localb,localb,locales comerciales,431544.0,4586243.0,2.179644273,41.42298122,POINT (2.179644273 41.42298122),23,aoi_24
117759.0,Local Buit,28,CL MANIGUA,4,42,localb,localb,locales comerciales,431545.0,4586289.0,2.179651029,41.42339561,POINT (2.179651029 41.42339561),23,aoi_24
117843.0,Local Buit,27,CL CIENFUEGOS,4,42,localb,localb,locales comerciales,431802.0,4586360.0,2.1827182990000003,41.42405695,POINT (2.182718299 41.42405695),23,aoi_24
117845.0,Local Buit,29,CL CIENFUEGOS,4,42,localb,localb,locales comerciales,431785.0,4586357.0,2.1825152119999998,41.42402849,POINT (2.182515212 41.42402849),23,aoi_24
112678.0,Local Buit,39,CL MATANZAS,4,42,localb,localb,locales comerciales,431746.0,4586243.0,2.182061405,41.42299841,POINT (2.182061405 41.42299841),23,aoi_24
