full_name,rating,total_ratings,business_category,address,phone,website,latitude,longitude
Javier Simorra Barcelona- Tienda de ropa para mujer,"4,5",(15),Tienda de ropa de mujer,,,,41.395245,2.142289
Trucco,"4,4",(32),Tienda de ropa de mujer,,,,41.3947416,2.1590516
Pimkie,"3,9",(363),Tienda de ropa de mujer,,,,41.3861445,2.172704
Dr. Bloom,"3,8",(5),Tienda de ropa de mujer,,,,41.3894824,2.1347753
Antonieta,"4,5",(51),Tienda de ropa de mujer,,,,41.4030417,2.1591722
Yerse Illa Diagonal Concept Store,"4,1",(28),Tienda de ropa de mujer,,,,41.3895068,2.1350037
Glam,"4,0",(1),Tienda de ropa de mujer,,,,41.3944341,2.1421906
Etxart Panno,"4,4",(7),Tienda de ropa de mujer,,,,41.3896117,2.1355075
BROWNIE,"4,1",(54),Tienda de ropa de mujer,,,,41.3894645,2.1348885
GreenLifeStyle EcoFashion - Tienda de Ropa Ecológica,"4,4",(28),Tienda de ropa de mujer,,,,41.4018735,2.1572941
Pimkie,"3,5",(4),Tienda de ropa de mujer,,,,41.383932,2.173444
Mariona,"4,7",(12),Tienda de ropa de mujer,,,,41.3939584,2.1262507
Mariona,"4,9",(9),Tienda de ropa de mujer,,,,41.3945594,2.1362916
SURKANA,"4,1",(46),Tienda de ropa de mujer,,,,41.3994251,2.1561326
INSTINTO,"4,5",(25),Tienda de ropa de mujer,,,,41.4027175,2.1530234
MARIA COLOMO,"5,0",(3),Tienda de ropa de mujer,,,,41.3935727,2.1385615
Shikara,,,Tienda de ropa de mujer,,,,41.3960929,2.1432747
Ropa Original Mujer - Unique Collection Barcelona,"5,0",(12),Tienda de ropa de mujer,,,,41.380604,2.145293
NKN Nekane,"4,0",(29),Tienda de ropa de mujer,,,,41.393955,2.1592116
"Dalatalla, tallas grandes . Curvy moda da la talla sants.","4,3",(101),Tienda de ropa de mujer,,,,41.3753742,2.1330367
